Source ADSO,Source Field,Target Field
ZSTT_D01 ,0CUSTOMER             ,0CUSTOMER  
ZSTT_D01 ,0MATERIAL             ,0MATERIAL  
ZSTT_D01 ,0SHIP_TO              ,0SHIP_TO   
ZSTT_D01 ,ZCUSTMAT              ,ZCUSTMAT   
ZSTT_D01 ,ZSTTGSV               ,ZSTTGSV    
ZSTT_D01 ,ZSTTQTY               ,ZSTTQTY    
ZSTT_D01 ,ZSTTINQTY             ,ZSTTINQTY  
ZSTT_D01 ,0CALDAY               ,0CALDAY    
ZSTT_D01 ,0CALMONTH             ,0CALMONTH  
ZSTT_D01 ,0FISCPER              ,0FISCPER   
ZSTT_D01 ,0FISCVARNT            ,0FISCVARNT 
ZSTT_D01 ,0CURRENCY             ,0CURRENCY  
ZSTT_D01 ,0SALES_UNIT           ,0SALES_UNIT
ZSTT_D01 ,0BASE_UOM             ,0BASE_UOM  
ZSTT_D01 ,0CUSTOMER__0COMP_CODE ,0COMP_CODE 
ZSTT_D01 ,0CUSTOMER__0DISTR_CHAN,0DISTR_CHAN
ZSTT_D01 ,0CUSTOMER__0SALES_GRP ,0SALES_GRP 
ZSTT_D01 ,0CUSTOMER__0SALESORG  ,0SALESORG  
ZSTT_D01 ,0CUSTOMER__0SALES_DIST,0SALES_DIST
ZSTT_D01 ,0CUSTOMER__0CUST_GROUP,0CUST_GROUP
ZSTT_D01 ,0SHIP_TO              ,0SOLD_TO   
ZCOPA_D02,0VERSION              ,0VERSION   
ZCOPA_D02,0COMP_CODE            ,0COMP_CODE 
ZCOPA_D02,0MATERIAL             ,0MATERIAL  
ZCOPA_D02,0BILL_TYPE            ,0BILL_TYPE 
ZCOPA_D02,ZERLOS                ,ZERLOS     
ZCOPA_D02,ZVVCAS                ,ZVVCAS     
ZCOPA_D02,ZVVCAS_ME             ,ZVVCAS_ME  
ZCOPA_D02,0CALMONTH             ,0CALMONTH  
ZCOPA_D02,0FISCPER              ,0FISCPER   
ZCOPA_D02,0FISCVARNT            ,0FISCVARNT 
ZCOPA_D02,ZVVPPR                ,ZVVPPR     
ZCOPA_D02,ZVVTPR                ,ZVVTPR     
ZCOPA_D02,ZVVTTA                ,ZVVTTA     
ZCOPA_D02,ZVVTPM                ,ZVVTPM     
ZCOPA_D02,0SHIP_TO              ,0SHIP_TO   
ZCOPA_D02,0SHIP_TO              ,0CUSTOMER  
ZCOPA_D02,0DISTR_CHAN           ,0DISTR_CHAN
ZCOPA_D02,0SALES_GRP            ,0SALES_GRP 
ZCOPA_D02,0SALESORG             ,0SALESORG  
ZCOPA_D02,0SALES_DIST           ,0SALES_DIST
ZCOPA_D02,0CUST_GROUP           ,0CUST_GROUP
